ts,x,y,z,rx,ry,rz,rw
63755672386331,0.03333449,1.549142,-0.6369433,-0.009116581,0.02978159,-0.01994818,0.9993158
63755672386345,0.03389299,1.54962,-0.6345863,-0.008580817,0.02989763,-0.01989843,0.9993181
63755672386358,0.03446579,1.550032,-0.6322367,-0.007979423,0.02999812,-0.01963096,0.9993253
63755672386372,0.03512239,1.550482,-0.6296271,-0.007088677,0.03011049,-0.01935033,0.9993342
63755672386385,0.03551435,1.550786,-0.6281158,-0.006488596,0.03012318,-0.01921023,0.9993405
63755672386399,0.0361644,1.55129,-0.6254821,-0.00590086,0.03022441,-0.01903377,0.9993445
63755672386412,0.03677499,1.551763,-0.622947,-0.005570977,0.0304081,-0.01906955,0.9993401
63755672386426,0.03762293,1.552356,-0.6192797,-0.005267412,0.03071111,-0.01949233,0.9993243
63755672386440,0.03817797,1.552837,-0.6165833,-0.005268301,0.03103624,-0.01970692,0.9993101
63755672386454,0.03893948,1.553607,-0.6126722,-0.0052091,0.0315035,-0.0198642,0.9992927
63755672386468,0.03921831,1.553883,-0.6109279,-0.005065317,0.03184906,-0.01989751,0.9992818
63755672386481,0.04003131,1.554533,-0.606336,-0.004486609,0.03217595,-0.01990542,0.999274
63755672386495,0.04047358,1.554897,-0.6035941,-0.003914402,0.03221942,-0.0197791,0.9992774
63755672386509,0.04075086,1.555153,-0.6016979,-0.003572852,0.03227074,-0.01964187,0.9992797
63755672386523,0.04173613,1.555778,-0.5965618,-0.002329743,0.03197097,-0.0184191,0.9993163
63755672386536,0.04225397,1.555988,-0.593997,-0.001507307,0.03173032,-0.01759706,0.9993404
63755672386551,0.04283309,1.556169,-0.5913111,-0.0003570426,0.03147734,-0.01661922,0.9993662
63755672386564,0.04356611,1.556394,-0.5881767,0.001253797,0.03096853,-0.01583563,0.9993941
63755672386578,0.0445987,1.556764,-0.5833483,0.002768957,0.03054728,-0.01629319,0.9993967
63755672386592,0.04532862,1.557099,-0.5798397,0.003740628,0.0301363,-0.01709847,0.9993926
63755672386605,0.04609215,1.557412,-0.5762523,0.004592167,0.02980745,-0.01768293,0.9993887
63755672386619,0.04685462,1.557691,-0.5730405,0.005360959,0.02955381,-0.01797647,0.9993872
63755672386633,0.04768503,1.558044,-0.5695603,0.006144485,0.02947628,-0.01802761,0.999384
63755672386647,0.0486511,1.558373,-0.5656634,0.006884342,0.02964497,-0.01816771,0.9993716
63755672386661,0.04946315,1.558695,-0.5623064,0.007832985,0.02999174,-0.01881061,0.9993424
63755672386674,0.04995656,1.558993,-0.5602157,0.008518034,0.030325,-0.01928053,0.9993178
63755672386688,0.05119228,1.559652,-0.5547957,0.009150697,0.03124257,-0.0201183,0.9992675
63755672386702,0.0517391,1.559881,-0.5525676,0.009580129,0.03161016,-0.02026742,0.9992489
63755672386715,0.05273008,1.560307,-0.5486503,0.01105932,0.03225524,-0.02014234,0.9992155
63755672386729,0.05352902,1.560639,-0.5456209,0.01194865,0.03272426,-0.01980446,0.9991968
63755672386743,0.05474842,1.561259,-0.5407557,0.01277742,0.0334174,-0.0194687,0.9991702
63755672386757,0.0553025,1.561574,-0.5385075,0.01305973,0.03362536,-0.01937896,0.9991613
63755672386771,0.05620277,1.562088,-0.5344784,0.01324522,0.0340478,-0.01955402,0.9991412
63755672386784,0.05696464,1.562461,-0.531001,0.01321316,0.0344015,-0.01995219,0.9991215
63755672386798,0.05809665,1.562915,-0.5258961,0.01314515,0.03503899,-0.02062429,0.9990867
63755672386812,0.05874658,1.563247,-0.5223848,0.01339822,0.03556596,-0.0210793,0.9990551
63755672386826,0.0594815,1.563557,-0.5187843,0.013826,0.03591082,-0.02129166,0.9990325
63755672386839,0.05993104,1.563692,-0.5166495,0.01412219,0.03598505,-0.02119939,0.9990277
63755672386853,0.06074405,1.563893,-0.5127146,0.01432724,0.03617816,-0.02074186,0.9990274
63755672386867,0.06188357,1.564185,-0.5071679,0.01412073,0.03615968,-0.01984735,0.9990491
63755672386881,0.06261837,1.56439,-0.5034684,0.01372477,0.03602724,-0.01899028,0.9990761
63755672386895,0.0634501,1.564475,-0.4992413,0.01341666,0.03606713,-0.01840611,0.9990898
