ts,x,y,z,rx,ry,rz,rw
63755672386219,-3.948283,7.254536,-0.5091286,-0.1646784,0.8036255,-0.531417,-0.2113366
63755672386232,-3.949401,7.251508,-0.510196,-0.1651817,0.802862,-0.5326631,-0.2107075
63755672386246,-3.949796,7.250495,-0.5106122,-0.1655242,0.8025564,-0.5330408,-0.2106479
63755672386260,-3.950761,7.247687,-0.5115355,-0.1666373,0.8014178,-0.5345158,-0.2103673
63755672386273,-3.951319,7.246103,-0.5120367,-0.1673192,0.800542,-0.5357215,-0.2100936
63755672386287,-3.952513,7.243418,-0.513335,-0.1681941,0.7996901,-0.5368158,-0.2098462
63755672386302,-3.953459,7.241387,-0.5143819,-0.1686351,0.7997095,-0.5365773,-0.2100281
63755672386316,-3.954549,7.238936,-0.5155461,-0.1693039,0.7995412,-0.5365113,-0.2102992
63755672386331,-3.955502,7.236724,-0.5165257,-0.1696794,0.7992003,-0.5368488,-0.2104311
63755672386345,-3.956424,7.234599,-0.5174457,-0.1696701,0.7988996,-0.537309,-0.2104058
63755672386358,-3.957303,7.232445,-0.5182793,-0.1695067,0.7986073,-0.53786,-0.2102394
63755672386372,-3.958288,7.230036,-0.5191783,-0.169377,0.7981593,-0.5386485,-0.2100261
63755672386385,-3.958884,7.228658,-0.5197266,-0.1693632,0.7978605,-0.5391607,-0.2098584
63755672386399,-3.95991,7.22627,-0.5207067,-0.1692695,0.7975572,-0.5396832,-0.2097438
63755672386412,-3.960912,7.223979,-0.5216796,-0.1692553,0.7973365,-0.5399711,-0.2098535
63755672386426,-3.962331,7.220659,-0.5230731,-0.1694806,0.7970336,-0.5401848,-0.2102717
63755672386440,-3.963344,7.218235,-0.5241706,-0.1694739,0.7969292,-0.5401947,-0.210647
63755672386454,-3.964791,7.214738,-0.525823,-0.1693539,0.7967747,-0.5402855,-0.2110946
63755672386468,-3.965356,7.213133,-0.5265243,-0.1692162,0.796622,-0.5404486,-0.2113638
63755672386481,-3.966813,7.208937,-0.5282511,-0.1691446,0.7962432,-0.540964,-0.2115301
63755672386495,-3.967601,7.206428,-0.5292575,-0.1691198,0.7959495,-0.541455,-0.2113988
63755672386509,-3.968122,7.204694,-0.5299686,-0.1690416,0.7957805,-0.5417634,-0.2113074
63755672386523,-3.969582,7.199955,-0.5316322,-0.1684448,0.7953969,-0.5429437,-0.2101959
63755672386536,-3.970253,7.197542,-0.5323367,-0.1680624,0.7951527,-0.5437194,-0.2094194
63755672386551,-3.970949,7.194976,-0.532998,-0.167619,0.7947607,-0.5447846,-0.2084924
63755672386564,-3.971823,7.192012,-0.5337715,-0.1675512,0.7941316,-0.5461432,-0.2073868
63755672386578,-3.973308,7.187544,-0.5352371,-0.1684119,0.7933061,-0.5472098,-0.2070373
63755672386592,-3.974438,7.184364,-0.536416,-0.1694506,0.7927086,-0.5477774,-0.2069769
63755672386605,-3.975586,7.181086,-0.5375755,-0.1702464,0.7922003,-0.5483012,-0.2068833
63755672386619,-3.976666,7.178128,-0.5385539,-0.1707536,0.7917755,-0.5488234,-0.2067067
63755672386633,-3.977857,7.174906,-0.539632,-0.1709728,0.7913523,-0.549429,-0.2065373
63755672386647,-3.979227,7.171249,-0.5407853,-0.1711205,0.7908873,-0.5500212,-0.2066198
63755672386661,-3.980459,7.168094,-0.541851,-0.171609,0.7901781,-0.550715,-0.2070796
63755672386674,-3.981275,7.166147,-0.5426025,-0.1719208,0.7896478,-0.5512273,-0.2074807
63755672386688,-3.983308,7.161103,-0.5445044,-0.1721973,0.7889603,-0.5517197,-0.2085555
63755672386702,-3.984134,7.158995,-0.5452064,-0.1721892,0.7886225,-0.5520917,-0.2088548
63755672386715,-3.985562,7.155237,-0.5463687,-0.1719904,0.7877017,-0.5533943,-0.2090456
63755672386729,-3.986682,7.152337,-0.5472463,-0.1716161,0.7871801,-0.554238,-0.2090832
63755672386743,-3.9885,7.147765,-0.5488081,-0.1711098,0.7866456,-0.5550668,-0.209311
63755672386757,-3.989345,7.145686,-0.5495684,-0.1709725,0.7864643,-0.5553401,-0.2093794
63755672386771,-3.990799,7.141976,-0.5509828,-0.1709127,0.7862438,-0.5555201,-0.2097785
63755672386784,-3.992036,7.138773,-0.5521875,-0.1710316,0.7861156,-0.555475,-0.2102809
63755672386798,-3.993839,7.134027,-0.5538816,-0.1712076,0.7858981,-0.5553937,-0.2111636
63755672386812,-3.994972,7.130752,-0.5551063,-0.1713258,0.7855656,-0.555591,-0.2117851
63755672386826,-3.996134,7.127382,-0.5562716,-0.1713798,0.7852186,-0.5559445,-0.2121001
63755672386839,-3.99678,7.125371,-0.5568935,-0.1713161,0.7850568,-0.5562087,-0.212058
63755672386853,-3.997926,7.121648,-0.5580003,-0.1708794,0.7849901,-0.5564861,-0.2119295
63755672386867,-3.999511,7.116457,-0.5595747,-0.1701385,0.7852763,-0.5564847,-0.2114683
63755672386881,-4.000526,7.113019,-0.5606351,-0.1694575,0.785683,-0.5563079,-0.2109692
63755672386895,-4.001657,7.109023,-0.5617579,-0.1689152,0.7859545,-0.5561764,-0.2107393
63755672386908,-4.002186,7.107043,-0.5623115,-0.1688596,0.7859138,-0.5562155,-0.2108323
63755672386922,-4.003354,7.102905,-0.5633699,-0.1691675,0.7855325,-0.556614,-0.2109547
63755672386937,-4.004659,7.098256,-0.5647251,-0.1696163,0.784694,-0.5575044,-0.2113638
63755672386950,-4.005666,7.094657,-0.5657995,-0.1694426,0.7845311,-0.5577565,-0.2114424
63755672386964,-4.006856,7.090556,-0.5669265,-0.1689985,0.7846968,-0.5576894,-0.2113599
63755672386978,-4.008012,7.086265,-0.5679709,-0.1685068,0.7847641,-0.5577894,-0.2112388
63755672386992,-4.008957,7.082622,-0.5688865,-0.1684669,0.7845363,-0.5581073,-0.2112773
63755672387005,-4.009867,7.078932,-0.5697544,-0.1683422,0.7841893,-0.5587463,-0.2109756
63755672387019,-4.011028,7.074456,-0.570823,-0.1682826,0.7835616,-0.5597015,-0.2108234
63755672387032,-4.011483,7.072792,-0.5712922,-0.1683936,0.7834265,-0.5598558,-0.2108269
63755672387046,-4.013076,7.066869,-0.572894,-0.1686046,0.7835618,-0.5594013,-0.2113614
63755672387060,-4.013591,7.065062,-0.5733598,-0.1686355,0.7836556,-0.5592402,-0.2114155
63755672387074,-4.014834,7.060583,-0.5745422,-0.168425,0.7839998,-0.5587912,-0.2114942
63755672387087,-4.015766,7.056974,-0.5754261,-0.1682677,0.7843181,-0.558343,-0.2116231
63755672387102,-4.017223,7.051183,-0.5769438,-0.1687175,0.7840621,-0.5584133,-0.2120276
63755672387115,-4.018247,7.047535,-0.578076,-0.169021,0.783874,-0.5585635,-0.2120858
63755672387128,-4.019206,7.043765,-0.5791486,-0.1689451,0.7844129,-0.5577441,-0.21231
63755672387142,-4.020111,7.039837,-0.5802071,-0.1687701,0.7848963,-0.5571324,-0.2122689
63755672387156,-4.020965,7.036294,-0.5812588,-0.1685909,0.7853875,-0.556583,-0.2120354
63755672387170,-4.021521,7.033984,-0.5819247,-0.1684577,0.7859246,-0.555869,-0.2120242
63755672387184,-4.02295,7.028509,-0.5837352,-0.1682609,0.7868236,-0.5547506,-0.211775
63755672387198,-4.023942,7.02517,-0.5850053,-0.1678193,0.7877686,-0.553691,-0.2113852
63755672387211,-4.024846,7.021967,-0.5861949,-0.1673983,0.7888954,-0.5521981,-0.2114219
63755672387225,-4.02536,7.020207,-0.5868871,-0.1673592,0.7894968,-0.5513776,-0.2113493
63755672387238,-4.026462,7.016502,-0.588365,-0.1671,0.7904368,-0.550205,-0.2110966
63755672387252,-4.027249,7.013915,-0.5894164,-0.1669472,0.7912682,-0.5490252,-0.2111747
63755672387266,-4.02843,7.009708,-0.5911024,-0.1668658,0.7921851,-0.547662,-0.2113411
63755672387279,-4.029278,7.006386,-0.5925077,-0.1668147,0.7930664,-0.5463934,-0.2113596
63755672387293,-4.030034,7.003111,-0.5938912,-0.1668463,0.7938629,-0.5452338,-0.2113388
63755672387307,-4.030628,7.00006,-0.594999,-0.1668475,0.7943008,-0.5447981,-0.2108155
63755672387321,-4.031202,6.997277,-0.5959359,-0.1665171,0.7947131,-0.5445369,-0.2101968
63755672387335,-4.031522,6.995777,-0.5963535,-0.166247,0.7949067,-0.54442,-0.2099815
63755672387349,-4.032134,6.992639,-0.5972866,-0.1660903,0.7953036,-0.5438101,-0.2101828
63755672387362,-4.03292,6.98845,-0.5986832,-0.1661638,0.7956417,-0.5431012,-0.2106775
63755672387376,-4.033261,6.986671,-0.5993006,-0.1661619,0.7957643,-0.5428289,-0.2109177
63755672387390,-4.033886,6.98242,-0.600446,-0.1659243,0.7959986,-0.5426081,-0.2107888
63755672387404,-4.034208,6.979815,-0.6009307,-0.1656855,0.7959123,-0.542923,-0.2104913
63755672387417,-4.034476,6.977938,-0.6012574,-0.1654682,0.7959228,-0.5430306,-0.2103448
63755672387431,-4.034868,6.974456,-0.6020248,-0.1656555,0.795434,-0.5436054,-0.2105618
63755672387445,-4.035028,6.972201,-0.6025959,-0.1659625,0.7952427,-0.5438792,-0.2103355
63755672387459,-4.035196,6.970293,-0.6030971,-0.1661985,0.7951276,-0.5440734,-0.2100819
63755672387473,-4.035441,6.968463,-0.6037154,-0.1667562,0.7949918,-0.544155,-0.2099424
63755672387486,-4.035591,6.966888,-0.6041729,-0.166909,0.7950938,-0.543982,-0.2098828
63755672387500,-4.035638,6.965482,-0.604441,-0.1671351,0.794937,-0.5441685,-0.2098137
