ts,x,y,z,rx,ry,rz,rw
63755672386316,-0.0322578,1.565564,-0.5977502,-0.009615543,0.02976225,-0.01957524,0.9993191
63755672386331,-0.03168416,1.566025,-0.5952562,-0.009116581,0.02978159,-0.01994818,0.9993158
63755672386345,-0.03111804,1.566453,-0.5928674,-0.008580817,0.02989763,-0.01989843,0.9993181
63755672386358,-0.03054595,1.566782,-0.5904854,-0.007979423,0.02999812,-0.01963096,0.9993253
63755672386372,-0.0298897,1.567123,-0.5878332,-0.007088677,0.03011049,-0.01935033,0.9993342
63755672386385,-0.02950168,1.567361,-0.5863016,-0.006488596,0.03012318,-0.01921023,0.9993405
63755672386399,-0.02884924,1.567795,-0.5836363,-0.00590086,0.03022441,-0.01903377,0.9993445
63755672386412,-0.02822232,1.568246,-0.5810673,-0.005570977,0.0304081,-0.01906955,0.9993401
63755672386426,-0.02733529,1.56887,-0.5773518,-0.005267412,0.03071111,-0.01949233,0.9993243
63755672386440,-0.02674592,1.56938,-0.5746135,-0.005268301,0.03103624,-0.01970692,0.9993101
63755672386454,-0.02593994,1.570166,-0.5706397,-0.0052091,0.0315035,-0.0198642,0.9992927
63755672386468,-0.02563095,1.570434,-0.5688461,-0.005065317,0.03184906,-0.01989751,0.9992818
63755672386481,-0.02479053,1.571038,-0.564194,-0.004486609,0.03217595,-0.01990542,0.999274
63755672386495,-0.02434909,1.57134,-0.5614288,-0.003914402,0.03221942,-0.0197791,0.9992774
63755672386509,-0.02407205,1.57155,-0.5595155,-0.003572852,0.03227074,-0.01964187,0.9992797
63755672386523,-0.02315235,1.571915,-0.5543794,-0.002329743,0.03197097,-0.0184191,0.9993163
63755672386536,-0.02268159,1.57195,-0.5518206,-0.001507307,0.03173032,-0.01759706,0.9993404
63755672386551,-0.02215528,1.571909,-0.5491327,-0.0003570426,0.03147734,-0.01661922,0.9993662
63755672386564,-0.02149034,1.571901,-0.5460172,0.001253797,0.03096853,-0.01583563,0.9993941
63755672386578,-0.02047956,1.572211,-0.5412004,0.002768957,0.03054728,-0.01629319,0.9993967
63755672386592,-0.01975965,1.572576,-0.5377181,0.003740628,0.0301363,-0.01709847,0.9993926
63755672386605,-0.01900589,1.572899,-0.5341494,0.004592167,0.02980745,-0.01768293,0.9993887
63755672386619,-0.01825595,1.573156,-0.5309488,0.005360959,0.02955381,-0.01797647,0.9993872
63755672386633,-0.0174309,1.573453,-0.5274564,0.006144485,0.02947628,-0.01802761,0.999384
63755672386647,-0.01644659,1.573741,-0.5235164,0.006884342,0.02964497,-0.01816771,0.9993716
63755672386661,-0.01558578,1.57407,-0.5200871,0.007832985,0.02999174,-0.01881061,0.9993424
63755672386674,-0.01504993,1.574375,-0.5179334,0.008518034,0.030325,-0.01928053,0.9993178
63755672386688,-0.01371074,1.575092,-0.5123754,0.009150697,0.03124257,-0.0201183,0.9992675
63755672386702,-0.0131284,1.575305,-0.5100871,0.009580129,0.03161016,-0.02026742,0.9992489
63755672386715,-0.0120877,1.575592,-0.5060443,0.01105932,0.03225524,-0.02014234,0.9992155
63755672386729,-0.01126015,1.575806,-0.5029292,0.01194865,0.03272426,-0.01980446,0.9991968
63755672386743,-0.009992719,1.576312,-0.497951,0.01277742,0.0334174,-0.0194687,0.9991702
63755672386757,-0.009423852,1.576591,-0.4956681,0.01305973,0.03362536,-0.01937896,0.9991613
63755672386771,-0.008482099,1.577112,-0.4915787,0.01324522,0.0340478,-0.01955402,0.9991412
63755672386784,-0.007677555,1.57754,-0.488056,0.01321316,0.0344015,-0.01995219,0.9991215
63755672386798,-0.006469846,1.578085,-0.4828696,0.01314515,0.03503899,-0.02062429,0.9990867
63755672386812,-0.005760431,1.578455,-0.4792825,0.01339822,0.03556596,-0.0210793,0.9990551
63755672386826,-0.004989505,1.578757,-0.4756254,0.013826,0.03591082,-0.02129166,0.9990325
63755672386839,-0.004536748,1.578856,-0.4734728,0.01412219,0.03598505,-0.02119939,0.9990277
63755672386853,-0.003721714,1.578979,-0.4695076,0.01432724,0.03617816,-0.02074186,0.9990274
63755672386867,-0.002611637,1.579169,-0.4639698,0.01412073,0.03615968,-0.01984735,0.9990491
63755672386881,-0.00191474,1.579294,-0.460299,0.01372477,0.03602724,-0.01899028,0.9990761
63755672386895,-0.001097441,1.579327,-0.4560755,0.01341666,0.03606713,-0.01840611,0.9990898
63755672386908,-0.0007183552,1.579326,-0.4539864,0.01344458,0.03618589,-0.01841212,0.999085
63755672386922,0.0001741648,1.579274,-0.4496497,0.01400438,0.03625178,-0.01872191,0.9990692
63755672386937,0.001092792,1.579346,-0.4447196,0.01518298,0.0366356,-0.0192933,0.9990271
63755672386950,0.001790047,1.579422,-0.440895,0.01543029,0.03686474,-0.01918045,0.9990171
63755672386964,0.002666712,1.579449,-0.4365665,0.01522315,0.03699918,-0.01876212,0.9990232
63755672386978,0.003568649,1.579326,-0.4320931,0.01520209,0.03717427,-0.0182724,0.9990261
63755672386992,0.004288673,1.579229,-0.4282891,0.01556758,0.03732106,-0.01824487,0.9990155
63755672387005,0.005003691,1.579059,-0.4244604,0.01629941,0.03731646,-0.01792914,0.9990097
63755672387019,0.005914569,1.578893,-0.419806,0.01742336,0.03749976,-0.01773987,0.9989873
63755672387032,0.006240487,1.578901,-0.4180478,0.01763944,0.03749228,-0.01782722,0.9989822
63755672387046,0.007408142,1.57886,-0.4118171,0.01714582,0.03770557,-0.01834289,0.9989734
63755672387060,0.007800817,1.578842,-0.4099214,0.01696167,0.03768833,-0.01840908,0.998976
63755672387074,0.008730888,1.578806,-0.4052167,0.01636383,0.03772886,-0.01830182,0.9989864
63755672387087,0.009451151,1.578688,-0.4014566,0.01578134,0.0377855,-0.01826896,0.9989942
63755672387102,0.01052725,1.578562,-0.3953906,0.01598587,0.03792289,-0.01888164,0.9989744
63755672387115,0.01121581,1.578675,-0.3914981,0.01625158,0.03786338,-0.01916312,0.998967
63755672387128,0.01188636,1.578667,-0.3875187,0.01524896,0.03785032,-0.01927417,0.9989812
63755672387142,0.0125289,1.578566,-0.3834023,0.01447167,0.03772313,-0.01913498,0.9990002
63755672387156,0.01309705,1.578572,-0.3796526,0.01377246,0.0374531,-0.01887568,0.9990252
63755672387170,0.0134753,1.578559,-0.377214,0.01288584,0.03730029,-0.01879479,0.9990442
63755672387184,0.01436269,1.578769,-0.3713429,0.01150768,0.03685844,-0.01854214,0.9990822
63755672387198,0.01493335,1.579089,-0.3676938,0.01013333,0.03643864,-0.01799816,0.9991224
63755672387211,0.01545107,1.579349,-0.3642075,0.008242442,0.03624434,-0.01774673,0.9991514
63755672387225,0.01573288,1.579531,-0.3622767,0.007262437,0.03596168,-0.01771576,0.9991698
63755672387238,0.0163343,1.579942,-0.3582025,0.005808255,0.03553447,-0.01741336,0.9991999
63755672387252,0.01676106,1.580252,-0.35535,0.004368925,0.03533295,-0.01739589,0.9992146
63755672387266,0.0173775,1.580691,-0.350728,0.002733199,0.03511723,-0.01750111,0.9992262
63755672387279,0.01775718,1.581059,-0.3470599,0.001223461,0.03478875,-0.01753998,0.99924
63755672387293,0.01805997,1.581383,-0.3434534,-0.0001314267,0.0344172,-0.01761946,0.9992523
63755672387307,0.01833069,1.581487,-0.3401654,-0.0006293376,0.03384505,-0.01733709,0.9992765
63755672387321,0.01863945,1.581536,-0.33719,-0.001014444,0.03341075,-0.01671055,0.9993015
63755672387335,0.01885641,1.581497,-0.3356157,-0.001223651,0.03333065,-0.01636386,0.9993097
63755672387349,0.01923108,1.581436,-0.3323072,-0.001991052,0.03340361,-0.01638543,0.9993057
63755672387362,0.0196346,1.581463,-0.3278401,-0.002816137,0.03358068,-0.01677853,0.9992912
63755672387376,0.0198009,1.581498,-0.3259343,-0.003142982,0.03370665,-0.0169339,0.9992834
63755672387390,0.02018428,1.581224,-0.3215121,-0.003466882,0.03365339,-0.01667121,0.9992885
63755672387404,0.02046669,1.580852,-0.3188849,-0.003157615,0.03361307,-0.01627788,0.9992974
63755672387417,0.02071333,1.580582,-0.3169953,-0.003089559,0.03362999,-0.01600315,0.9993015
63755672387431,0.02100086,1.580163,-0.313445,-0.002366954,0.03388635,-0.01625514,0.9992907
63755672387445,0.0210712,1.579909,-0.3111277,-0.001950943,0.0336181,-0.01636406,0.9992989
63755672387459,0.02114964,1.579723,-0.3091582,-0.00164774,0.03333973,-0.01640187,0.9993082
63755672387473,0.02123582,1.579696,-0.3072135,-0.001387332,0.0329625,-0.01678324,0.9993147
63755672387486,0.0212903,1.579583,-0.3055713,-0.001544826,0.03278424,-0.01688631,0.9993186
63755672387500,0.02132869,1.579329,-0.3041625,-0.001258567,0.03266524,-0.01702492,0.9993206
63755672387513,0.02127838,1.579012,-0.3030076,-0.0005526944,0.03246805,-0.01701684,0.9993278
63755672387527,0.02124166,1.578742,-0.3022985,-2.719556E-05,0.03224362,-0.01695217,0.9993363
63755672387542,0.02113545,1.578522,-0.3015415,0.000137195,0.03207023,-0.016918,0.9993424
63755672387556,0.02100003,1.578368,-0.3008085,-0.0001417849,0.0319616,-0.01661226,0.999351
63755672387569,0.02076852,1.577919,-0.3001134,-0.0004708685,0.03176677,-0.01580022,0.9993703
63755672387582,0.02058065,1.577698,-0.2998656,-0.0001990465,0.03149201,-0.0154336,0.9993848
63755672387596,0.02034783,1.57754,-0.2997947,1.760236E-05,0.03133018,-0.01537817,0.9993908
63755672387610,0.02007437,1.577401,-0.3000458,0.0005444551,0.03117461,-0.0158902,0.9993875
63755672387623,0.0197711,1.577454,-0.3004445,0.0008259708,0.03113533,-0.01655469,0.9993778
63755672387637,0.01958501,1.577646,-0.3007893,0.0008700892,0.03096285,-0.01685768,0.999378
63755672387651,0.01936603,1.577648,-0.300834,0.0004803904,0.03073904,-0.01680778,0.999386
63755672387665,0.01880538,1.578257,-0.3031303,-0.000399867,0.03053536,-0.01664023,0.9993951
63755672387679,0.01855803,1.578403,-0.3039922,-0.0003227134,0.03042038,-0.01653153,0.9994004
63755672387692,0.01823664,1.57875,-0.3054909,-0.0003452809,0.03050713,-0.0165176,0.999398
63755672387706,0.01802313,1.579114,-0.306743,-0.0007298898,0.03058921,-0.01662916,0.9993935
63755672387720,0.01753891,1.579789,-0.3091962,-0.001821504,0.03060404,-0.01623808,0.9993981
63755672387734,0.01720214,1.580152,-0.3108087,-0.002515318,0.03060248,-0.01568078,0.9994054
63755672387748,0.01693904,1.580384,-0.3122383,-0.002866059,0.03043203,-0.01524668,0.9994165
63755672387761,0.01628256,1.581019,-0.3154005,-0.003020958,0.03055885,-0.01527975,0.9994116
63755672387774,0.01603222,1.581218,-0.3164297,-0.002939907,0.03060129,-0.01516133,0.9994124
63755672387788,0.01524746,1.58198,-0.3198521,-0.003030416,0.03067125,-0.01522473,0.999409
63755672387802,0.01491356,1.582277,-0.3212259,-0.002995954,0.03071295,-0.01530535,0.9994066
63755672387816,0.01434934,1.582652,-0.32386,-0.002700523,0.03071366,-0.01541467,0.9994057
63755672387830,0.01336539,1.583095,-0.3281023,-0.001347436,0.03077054,-0.0160868,0.9993961
63755672387843,0.01279545,1.583256,-0.330883,-0.0001795248,0.03057603,-0.01627939,0.9993998
63755672387857,0.01215076,1.583517,-0.3340438,0.001496987,0.03047975,-0.01626567,0.9994019
63755672387871,0.01146924,1.584082,-0.3374132,0.002404517,0.03020203,-0.01621384,0.9994094
63755672387885,0.01104295,1.584486,-0.3391388,0.002093582,0.03014839,-0.01622677,0.9994115
63755672387899,0.01017535,1.585229,-0.342548,0.001285587,0.02983042,-0.01634656,0.9994205
63755672387912,0.009271622,1.58581,-0.3461694,0.001052463,0.02948358,-0.01650459,0.9994285
63755672387926,0.007951736,1.586445,-0.3514743,0.001622141,0.02904524,-0.01640149,0.9994422
63755672387940,0.007039785,1.587023,-0.3552659,0.001694751,0.02891409,-0.01576187,0.9994562
63755672387954,0.006091118,1.587937,-0.3591686,0.0003667081,0.02881931,-0.01522593,0.9994686
63755672387968,0.005279064,1.58864,-0.3625537,-0.00119435,0.02857148,-0.01453903,0.9994853
63755672387981,0.004349113,1.589365,-0.366677,-0.002702819,0.02842867,-0.01410403,0.9994927
63755672387995,0.003325105,1.590202,-0.3712431,-0.003925084,0.0283326,-0.01401113,0.9994926
63755672388009,0.002913952,1.590583,-0.3731602,-0.004613023,0.02844372,-0.01411554,0.9994851
63755672388023,0.002076745,1.591408,-0.377183,-0.005509289,0.02862618,-0.01436727,0.9994717
63755672388036,0.0007553101,1.592521,-0.3833579,-0.006252073,0.02891636,-0.01428313,0.9994602
63755672388050,-3.743172E-05,1.593084,-0.3870175,-0.006588525,0.0290482,-0.01392904,0.9994593
63755672388064,-0.0005643368,1.593382,-0.3894291,-0.006629581,0.02902893,-0.01357532,0.9994645
63755672388077,-0.001334548,1.593718,-0.3928562,-0.006213294,0.02880471,-0.01305306,0.9994805
63755672388091,-0.002995133,1.594336,-0.3999147,-0.004776412,0.0283616,-0.01248007,0.9995084
63755672388104,-0.003792524,1.594744,-0.4035219,-0.004373306,0.02817212,-0.01255026,0.9995148
63755672388118,-0.004695654,1.595121,-0.4076303,-0.003983354,0.02803513,-0.01246925,0.9995213
63755672388132,-0.005789161,1.595457,-0.4128388,-0.002837925,0.02804139,-0.01210982,0.9995294
63755672388147,-0.00699842,1.595854,-0.4184945,-0.001186958,0.02816617,-0.01169218,0.9995342
63755672388159,-0.007792234,1.596094,-0.4221012,-0.0004092988,0.02833969,-0.01139677,0.9995333
63755672388173,-0.008648515,1.596279,-0.4259397,0.0004293897,0.02850998,-0.0113899,0.9995285
63755672388187,-0.00952816,1.596422,-0.4298138,0.00165021,0.02861362,-0.01146931,0.9995234
63755672388201,-0.01129115,1.596543,-0.4375692,0.003888071,0.02874274,-0.01123041,0.9995162
63755672388215,-0.01216006,1.596474,-0.4415131,0.00513021,0.02868984,-0.01094933,0.9995152
63755672388228,-0.01302612,1.59631,-0.4455085,0.006570089,0.02875783,-0.01062058,0.9995084
63755672388243,-0.01456022,1.595946,-0.452834,0.009454169,0.02876065,-0.009595541,0.9994956
63755672388256,-0.01502955,1.595848,-0.4551684,0.01027455,0.02885789,-0.009312756,0.9994873
63755672388270,-0.01648629,1.595863,-0.4625032,0.01184048,0.02925325,-0.00963224,0.9994555
63755672388284,-0.01710236,1.595947,-0.4655406,0.01191244,0.02951519,-0.01031225,0.9994402
63755672388297,-0.01850891,1.595974,-0.4723381,0.01245902,0.03014245,-0.01127275,0.9994044
63755672388311,-0.01938796,1.595931,-0.4765704,0.01249824,0.03063533,-0.01173162,0.9993836
63755672388325,-0.02050412,1.595771,-0.481863,0.01212913,0.03107714,-0.0115821,0.9993763
63755672388339,-0.02143264,1.595482,-0.4864661,0.01204376,0.03142108,-0.01085292,0.9993747
63755672388353,-0.02253866,1.595166,-0.4917258,0.01199166,0.03175791,-0.009874627,0.9993749
63755672388366,-0.02339983,1.595177,-0.495836,0.01164534,0.03187446,-0.009500451,0.9993789
63755672388380,-0.0245589,1.595231,-0.5008689,0.009878435,0.03194267,-0.00892691,0.999401
63755672388394,-0.02563035,1.595259,-0.505641,0.008177146,0.03185476,-0.008517243,0.9994228
63755672388408,-0.02652991,1.595312,-0.509656,0.007068214,0.03172233,-0.007955973,0.9994401
63755672388422,-0.02749133,1.595306,-0.5136421,0.005643001,0.03167317,-0.007494515,0.9994543
63755672388436,-0.02887321,1.595247,-0.5191216,0.00387238,0.03156791,-0.007609034,0.9994652
63755672388450,-0.0299933,1.595218,-0.5236108,0.003082727,0.03151132,-0.007958453,0.999467
63755672388464,-0.03090894,1.59514,-0.5273693,0.002705628,0.03153604,-0.008175373,0.9994655
63755672388477,-0.03163409,1.595043,-0.5305079,0.002530677,0.03154577,-0.008048004,0.9994667
63755672388491,-0.0329653,1.594787,-0.5362003,0.002079427,0.03148905,-0.007321444,0.9994751
63755672388505,-0.03394055,1.594549,-0.5406955,0.001511886,0.03140285,-0.006554075,0.9994842
63755672388519,-0.03501463,1.594214,-0.5455956,0.0008986602,0.03133396,-0.005945161,0.9994909
63755672388533,-0.03602386,1.593882,-0.5499774,0.0007559384,0.03122158,-0.006005753,0.9994942
63755672388547,-0.036816,1.593614,-0.5533829,0.0007208181,0.03128819,-0.006039194,0.9994919
63755672388561,-0.03761697,1.593266,-0.5568526,0.0006854541,0.03127931,-0.006063799,0.999492
63755672388575,-0.03888941,1.59256,-0.5626908,0.0008279633,0.03158503,-0.00631175,0.9994808
