ts,x,y,z,rx,ry,rz,rw
63755672386191,-0.1757404,0.02968192,-0.08725473,-0.01730115,0.03234917,-0.01705648,0.9991813
63755672386205,-0.1754577,0.02981842,-0.08570507,-0.01727966,0.03193895,-0.01680714,0.9991991
63755672386219,-0.1751311,0.02992189,-0.08412308,-0.01690965,0.03152157,-0.01660927,0.999222
63755672386232,-0.174383,0.03024399,-0.08082256,-0.01529847,0.03108957,-0.01658591,0.9992619
63755672386246,-0.1741416,0.03040969,-0.07969591,-0.01475912,0.03097375,-0.01681539,0.9992698
63755672386260,-0.1734792,0.03062129,-0.07666481,-0.01271397,0.03059542,-0.01749557,0.9992979
63755672386273,-0.173085,0.03073096,-0.07496133,-0.01110392,0.03036469,-0.01783504,0.9993181
63755672386287,-0.1724072,0.03139639,-0.0718919,-0.00956744,0.0300271,-0.01835912,0.9993347
63755672386302,-0.171887,0.03197265,-0.06954437,-0.009724,0.02988951,-0.01885035,0.9993281
63755672386316,-0.1712579,0.03256357,-0.06675017,-0.009615543,0.02976225,-0.01957524,0.9993191
63755672386331,-0.1706842,0.03302455,-0.06425625,-0.009116581,0.02978159,-0.01994818,0.9993158
63755672386345,-0.1701181,0.03345335,-0.06186739,-0.008580817,0.02989763,-0.01989843,0.9993181
63755672386358,-0.169546,0.03378201,-0.05948541,-0.007979423,0.02999812,-0.01963096,0.9993253
63755672386372,-0.1688898,0.0341233,-0.05683324,-0.007088677,0.03011049,-0.01935033,0.9993342
63755672386385,-0.1685017,0.03436136,-0.05530158,-0.006488596,0.03012318,-0.01921023,0.9993405
63755672386399,-0.1678493,0.03479445,-0.05263633,-0.00590086,0.03022441,-0.01903377,0.9993445
63755672386412,-0.1672224,0.03524566,-0.05006728,-0.005570977,0.0304081,-0.01906955,0.9993401
63755672386426,-0.1663353,0.03587008,-0.04635185,-0.005267412,0.03071111,-0.01949233,0.9993243
63755672386440,-0.165746,0.03638017,-0.04361346,-0.005268301,0.03103624,-0.01970692,0.9993101
63755672386454,-0.16494,0.03716552,-0.03963974,-0.0052091,0.0315035,-0.0198642,0.9992927
63755672386468,-0.164631,0.03743374,-0.03784609,-0.005065317,0.03184906,-0.01989751,0.9992818
63755672386481,-0.1637906,0.03803837,-0.03319398,-0.004486609,0.03217595,-0.01990542,0.999274
63755672386495,-0.1633492,0.03833997,-0.03042883,-0.003914402,0.03221942,-0.0197791,0.9992774
63755672386509,-0.1630721,0.03855038,-0.02851546,-0.003572852,0.03227074,-0.01964187,0.9992797
63755672386523,-0.1621524,0.03891456,-0.02337942,-0.002329743,0.03197097,-0.0184191,0.9993163
63755672386536,-0.1616817,0.03895009,-0.02082059,-0.001507307,0.03173032,-0.01759706,0.9993404
63755672386551,-0.1611553,0.03890896,-0.01813275,-0.0003570426,0.03147734,-0.01661922,0.9993662
63755672386564,-0.1604904,0.03890121,-0.01501721,0.001253797,0.03096853,-0.01583563,0.9993941
63755672386578,-0.1594796,0.03921127,-0.01020041,0.002768957,0.03054728,-0.01629319,0.9993967
63755672386592,-0.1587597,0.03957617,-0.006718069,0.003740628,0.0301363,-0.01709847,0.9993926
63755672386605,-0.158006,0.03989935,-0.00314939,0.004592167,0.02980745,-0.01768293,0.9993887
63755672386619,-0.157256,0.04015601,5.123019E-05,0.005360959,0.02955381,-0.01797647,0.9993872
63755672386633,-0.156431,0.04045272,0.003543586,0.006144485,0.02947628,-0.01802761,0.999384
63755672386647,-0.1554466,0.04074085,0.007483602,0.006884342,0.02964497,-0.01816771,0.9993716
63755672386661,-0.1545858,0.0410701,0.01091287,0.007832985,0.02999174,-0.01881061,0.9993424
63755672386674,-0.15405,0.04137516,0.01306662,0.008518034,0.030325,-0.01928053,0.9993178
63755672386688,-0.1527108,0.04209161,0.01862457,0.009150697,0.03124257,-0.0201183,0.9992675
63755672386702,-0.1521285,0.04230464,0.02091286,0.009580129,0.03161016,-0.02026742,0.9992489
63755672386715,-0.1510878,0.04259181,0.02495572,0.01105932,0.03225524,-0.02014234,0.9992155
63755672386729,-0.1502602,0.04280567,0.02807078,0.01194865,0.03272426,-0.01980446,0.9991968
63755672386743,-0.1489928,0.04331195,0.03304897,0.01277742,0.0334174,-0.0194687,0.9991702
63755672386757,-0.1484239,0.04359126,0.03533192,0.01305973,0.03362536,-0.01937896,0.9991613
63755672386771,-0.1474822,0.04411197,0.03942128,0.01324522,0.0340478,-0.01955402,0.9991412
63755672386784,-0.1466776,0.04453969,0.042944,0.01321316,0.0344015,-0.01995219,0.9991215
63755672386798,-0.1454699,0.04508495,0.04813038,0.01314515,0.03503899,-0.02062429,0.9990867
63755672386812,-0.1447605,0.04545498,0.05171746,0.01339822,0.03556596,-0.0210793,0.9990551
63755672386826,-0.1439896,0.04575717,0.05537461,0.013826,0.03591082,-0.02129166,0.9990325
63755672386839,-0.1435368,0.04585564,0.05752717,0.01412219,0.03598505,-0.02119939,0.9990277
